,date,value,action,reward,balance,coin,position,price,index
0,2022-11-28,100000000.0,2,-1,-400000.0,6090.512321715478,1,16418.98,18883
1,2022-11-28,99689408.72088277,1,-0.05,99289051.08599924,0,0,16433.66,18884
2,2022-11-28,99289051.08599924,2,1,99289051.08599924,0.0,-1,16443.15,18885
3,2022-11-28,99289051.08599924,1,-0.05,99289051.08599924,0,0,16440.739999999998,18886
4,2022-11-28,99289051.08599924,2,1,99289051.08599924,0.0,1,16447.135000000002,18887
5,2022-11-28,99289051.08599924,2,1,99289051.08599924,0.0,0,16453.545,18888
6,2022-11-28,99289051.08599924,1,-0.05,99289051.08599924,0,1,16455.41,18889
7,2022-11-28,99289051.08599924,1,-0.05,99289051.08599924,0,0,16452.175000000003,18890
8,2022-11-28,99289051.08599924,2,1,99289051.08599924,0.0,1,16452.629999999997,18891
9,2022-11-28,99289051.08599924,2,1,99289051.08599924,0.0,1,16452.755,18892
10,2022-11-28,99289051.08599924,1,-0.05,99289051.08599924,0,-1,16443.385000000002,18893
11,2022-11-28,99289051.08599924,1,-0.05,99289051.08599924,0,1,16441.935,18894
12,2022-11-28,99289051.08599924,1,-0.05,99289051.08599924,0,1,16434.38,18895
13,2022-11-28,99289051.08599924,2,1,99289051.08599924,0.0,1,16443.89,18896
14,2022-11-28,99289051.08599924,1,-0.05,99289051.08599924,0,1,16445.485,18897
15,2022-11-28,99289051.08599924,0,-1,198889051.08599925,-6077.861662398489,1,16453.155,18898
16,2022-11-28,98894156.48979564,0,-1,198889051.08599925,-6077.861662398489,0,16452.315000000002,18899
17,2022-11-28,98858600.99907061,2,-1,-1941520.801277101,6076.011511611409,-1,16458.165,18900
18,2022-11-28,98062064.04551475,0,-1,197262049.70612758,-6075.793703715743,0,16458.755,18901
19,2022-11-28,97198193.11430153,2,-1,-3602062.3120657653,6071.916384853847,1,16469.265,18902
20,2022-11-28,96373133.9095021,1,-0.05,95973233.12461583,0,0,16465.18,18903
21,2022-11-28,95973233.12461583,0,-1,195573233.12461585,-6074.239968316764,1,16462.965,18904
22,2022-11-28,95552762.93592262,2,-1,-5247318.944832146,6072.996814409521,0,16466.335,18905
23,2022-11-28,94780495.38057785,2,-1,-5247318.944832146,6072.996814409521,0,16470.915,18906
24,2022-11-28,94767529.53237908,1,-0.05,94367470.13847023,0,-1,16468.78,18907
25,2022-11-28,94367470.13847023,2,1,94367470.13847023,0.0,1,16470.22,18908
26,2022-11-28,94367470.13847023,1,-0.05,94367470.13847023,0,0,16472.805,18909
27,2022-11-28,94367470.13847023,2,1,94367470.13847023,0.0,0,16473.4,18910
28,2022-11-28,94367470.13847023,1,-0.05,94367470.13847023,0,0,16471.195,18911
29,2022-11-28,94367470.13847023,1,-0.05,94367470.13847023,0,-1,16473.92,18912
30,2022-11-28,94367470.13847023,2,1,94367470.13847023,0.0,0,16471.965,18913
31,2022-11-28,94367470.13847023,1,-0.05,94367470.13847023,0,0,16464.73,18914
32,2022-11-28,94367470.13847023,0,-1,193967470.13847023,-6075.825081856554,,16458.67,18915
33,2022-11-28,93934265.75439787,1,-0.05,93534132.93686157,0,,16464.135000000002,18916
34,2022-11-28,93534132.93686157,2,-1,-6865867.063138425,6076.864435181276,,16455.855000000003,18917
35,2022-11-28,93162937.27428432,1,-0.05,92762822.05693462,0,,16460.595,18918
36,2022-11-28,92762822.05693462,2,1,92762822.05693462,0.0,,16461.9,18919
37,2022-11-28,92762822.05693462,2,1,92762822.05693462,0.0,,16461.699999999997,18920
38,2022-11-28,92762822.05693462,0,-1,192362822.05693462,-6073.992772555999,,16463.635000000002,18921
39,2022-11-28,92367741.99108042,2,-1,-8432238.329182997,6074.291623703709,,16462.824999999997,18922
40,2022-11-28,91568703.18601869,0,-1,190768699.41995788,-6074.234433863128,,16462.98,18923
41,2022-11-28,90759557.69713491,0,1,190768699.41995788,-6074.234433863128,,16464.485,18924
42,2022-11-28,90776049.24362284,0,-1,190768699.41995788,-6074.234433863128,,16461.77,18925
43,2022-11-28,90740089.77577436,2,-1,-10060024.662802368,6072.497114045746,,16467.690000000002,18926
44,2022-11-28,89956401.44189112,0,-1,189156335.73747236,-6071.499803131619,,16470.395,18927
45,2022-11-28,89178709.2142469,1,-0.05,88778798.708154,0,,16466.71,18928
46,2022-11-28,88778798.708154,2,-1,-11621201.291846007,6074.581279112431,,16462.04,18929
47,2022-11-28,88381167.79485285,1,-0.05,87981158.31850606,0,,16462.43,18930
48,2022-11-28,87981158.31850606,0,-1,187581158.31850606,-6075.042570860815,,16460.79,18931
49,2022-11-28,87576632.41179077,2,-1,-13223385.691836089,6074.7676325445955,,16461.535,18932
50,2022-11-28,86738677.38429867,1,-0.05,86338829.13199413,0,,16455.29,18933
51,2022-11-28,86338829.13199413,0,-1,185938829.13199413,-6076.842278293246,,16455.915,18934
52,2022-11-28,85941259.86890545,2,-1,-14858730.408146903,6076.989993932126,,16455.515,18935
53,2022-11-28,85162204.8223822,1,-0.05,84762121.08146007,0,,16458.96,18936
54,2022-11-28,84762121.08146007,1,-0.05,84762121.08146007,0,,16456.895,18937
55,2022-11-28,84762121.08146007,2,1,84762121.08146007,0.0,,16455.915,18938
56,2022-11-28,84762121.08146007,0,-1,184362121.08146006,-6075.998590368326,,16458.2,18939
57,2022-11-28,84381533.89695631,0,1,184362121.08146006,-6075.998590368326,,16455.004999999997,18940
58,2022-11-28,84387032.6756806,0,1,184362121.08146006,-6075.998590368326,,16454.1,18941
59,2022-11-28,84443843.26250052,2,-1,-16355829.848775312,6080.968090119947,,16444.75,18942
60,2022-11-28,83657973.94878927,1,-0.05,83257918.733599,0,,16447.02,18943
61,2022-11-28,83257918.733599,1,-0.05,83257918.733599,0,,16453.93,18944
62,2022-11-28,83257918.733599,0,-1,182857918.733599,-6075.647891902072,,16459.15,18945
63,2022-11-28,82874960.9259358,2,-1,-17924970.90529485,6076.683491990475,,16456.345,18946
64,2022-11-28,82046407.91545787,0,-1,181246522.40017486,-6078.423208392356,,16451.635000000002,18947
65,2022-11-28,81283904.70290649,0,-1,181246522.40017486,-6078.423208392356,,16445.485,18948
66,2022-11-28,81249774.35659137,2,-1,-19550212.635582954,6078.6208824941805,,16451.1,18949
67,2022-11-28,80476442.1169868,1,-0.05,80076335.49797651,0,,16455.485,18950
68,2022-11-28,80076335.49797651,0,-1,179676335.4979765,-6078.7483613973955,,16450.754999999997,18951
