,date,value,action,reward,balance,coin,position,price,index
0,2023-05-01,100000000.0,1,0.0,100000000,0,0,39133566.666666664,169899
1,2023-05-01,100000000.0,2,-0.48195036,-40000.0,2.5552198990304857,1,39135575.0,169900
2,2023-05-01,99963960.5908435,1,0.01112221,-40000.0,2.5552198990304857,1,39137125.0,169901
3,2023-05-01,99966451.93024506,1,0.01924522,-40000.0,2.5552198990304857,1,39138100.0,169902
4,2023-05-01,99970753.2170751,1,0.0257069,-40000.0,2.5552198990304857,1,39139783.333333336,169903
5,2023-05-01,99976481.16834874,0,-1.14330332,199896474.57588142,-2.5547988383329683,-1,39142025.0,169904
6,2023-05-01,99891322.39822412,0,-0.66564829,299856474.5758814,-5.109466055672346,-2,39144041.666666664,169905
7,2023-05-01,99840337.04620445,1,-0.15465988,299856474.5758814,-5.109466055672346,-2,39146191.666666664,169906
8,2023-05-01,99828670.43204397,0,-0.74331375,399816474.5758814,-7.663843972053508,-3,39148475.0,169907
9,2023-05-01,99770788.12944251,1,-0.26437358,399816474.5758814,-7.663843972053508,-3,39150808.333333336,169908
10,2023-05-01,99751309.19268018,1,-0.28941012,399816474.5758814,-7.663843972053508,-3,39153350.0,169909
11,2023-05-01,99729722.6988256,1,-0.30275814,399816474.5758814,-7.663843972053508,-3,39156166.666666664,169910
12,2023-05-01,99706858.89764231,1,-0.28311011,399816474.5758814,-7.663843972053508,-3,39159150.0,169911
13,2023-05-01,99685719.4613527,2,-2.01372865,-474332.8406931162,2.5535017126548776,1,39161908.333333336,169912
14,2023-05-01,99532455.21802634,1,0.0318787,-474332.8406931162,2.5535017126548776,1,39164566.666666664,169913
15,2023-05-01,99539711.41872647,1,0.03658816,-474332.8406931162,2.5535017126548776,1,39167408.333333336,169914
16,2023-05-01,99548010.29929261,2,-0.30644846,-100514332.84069312,5.1064330202939505,2,39170658.333333336,169915
17,2023-05-01,99524521.09939155,1,0.07972317,-100514332.84069312,5.1064330202939505,2,39173891.666666664,169916
