,date,value,action,reward,balance,coin,position,price,index
0,2023-02-22,100000000.0,4,1.02093443,-900000000.0,31.23884675549433,10,32011425.0,73519
1,2023-02-22,100067423.84424734,4,0.85281588,-900000000.0,31.23884675549433,10,32013583.333333332,73520
2,2023-02-22,100128599.91914356,4,0.66886945,-900000000.0,31.23884675549433,10,32015541.666666668,73521
3,2023-02-22,100181445.63490486,1,-1.30160885,600181445.6349049,-15.616589815693008,-5,32017233.333333332,73522
4,2023-02-22,100149171.34928572,4,0.83029503,-899850828.6507143,31.231163704390788,10,32019300.0,73523
5,2023-02-22,100216578.61094761,1,-1.10927315,600216578.6109476,-15.614529319531824,-5,32021458.333333332,73524
6,2023-02-22,100187431.48955113,4,0.6513808,-899812568.5104489,31.227238270854134,10,32023325.0,73525
7,2023-02-22,100244160.97240973,4,0.55761112,-899812568.5104489,31.227238270854134,10,32025141.666666668,73526
8,2023-02-22,100296987.05048454,4,0.41047319,-899812568.5104489,31.227238270854134,10,32026833.333333332,73527
9,2023-02-22,100337582.46023667,4,0.3682943,-899812568.5104489,31.227238270854134,10,32028133.333333332,73528
10,2023-02-22,100375575.60013294,1,-0.59643974,600375575.600133,-15.610682077532013,-5,32029350.0,73529
11,2023-02-22,100355411.80244946,1,-1.0500204,1100375575.600133,-31.220734639180662,-10,32030641.666666668,73530
12,2023-02-22,100321849.51271236,1,-1.12273808,1100375575.600133,-31.220734639180662,-10,32031716.666666668,73531
13,2023-02-22,100287246.53182065,4,0.20047031,-899712753.4681793,31.217977184341375,10,32032825.0,73532
14,2023-02-22,100305977.31813133,4,-0.25475721,-899712753.4681793,31.217977184341375,10,32033425.0,73533
15,2023-02-22,100298172.82383513,1,0.12247142,600298172.8238351,-15.60881804566672,-5,32033175.0,73534
16,2023-02-22,100309749.36388564,4,-1.87850272,-899690250.6361144,31.218358892497502,10,32032433.333333332,73535
17,2023-02-22,100255897.69479609,1,0.40422794,600255897.6947961,-15.610020071884144,-5,32030708.333333332,73536
18,2023-02-22,100290890.15645719,4,-1.93198495,-899709109.8435428,31.222225228806874,10,32028466.666666668,73537
19,2023-02-22,100238072.5587784,4,-0.830914,-899709109.8435428,31.222225228806874,10,32026775.0,73538
20,2023-02-22,100216217.0011183,4,-0.87425924,-899709109.8435428,31.222225228806874,10,32026075.0,73539
21,2023-02-22,100193580.8878274,4,-2.14617428,-899709109.8435428,31.222225228806874,10,32025350.0,73540
22,2023-02-22,100143365.14225113,1,0.35728794,600143365.1422511,-15.613415983818255,-5,32023741.666666668,73541
23,2023-02-22,100170688.6202228,1,0.32343886,1100143365.142251,-31.227685239920635,-10,32021991.666666668,73542
24,2023-02-22,100196191.22983539,4,-1.20834351,-899803808.7701646,31.22933496350462,10,32021175.0,73543
25,2023-02-22,100165742.62824607,1,0.29282318,600165742.6282461,-15.615142941018481,-5,32020200.0,73544
26,2023-02-22,100189165.34265763,4,-2.34817838,-899810834.6573424,31.231748946709267,10,32018700.0,73545
27,2023-02-22,100132948.1945535,1,0.3907761,600132948.1945535,-15.616752402637356,-5,32016900.0,73546
28,2023-02-22,100161318.62808502,4,-2.4234128,-899838681.371915,31.235277121981568,10,32015083.333333332,73547
29,2023-02-22,100105876.01119351,4,-2.45874658,-899838681.371915,31.235277121981568,10,32013308.333333332,73548
30,2023-02-22,100053036.33406222,1,0.34845787,600053036.3340622,-15.619329857858892,-5,32011616.666666668,73549
31,2023-02-22,100076335.16776687,1,0.62968717,1100053036.334062,-31.239387573972152,-10,32010125.0,73550
32,2023-02-22,100122413.26443839,4,-2.066004,-899877586.7355616,31.241555017159424,10,32008650.0,73551
33,2023-02-22,100075290.58562088,1,0.42849757,600075290.5856209,-15.621513636149432,-5,32007141.666666668,73552
34,2023-02-22,100107184.50929469,4,-3.32294188,-899892815.4907053,31.245020324885722,10,32005100.0,73553
35,2023-02-22,100037143.58873308,1,0.458822,600037143.5887331,-15.623604454081315,-5,32002858.333333332,73554
36,2023-02-22,100064354.69982392,4,-2.17089826,-899935645.3001761,31.24890954326073,10,32001116.666666668,73555
37,2023-02-22,100021647.85678136,1,0.27702792,600021647.8567814,-15.625122071266182,-5,31999750.0,73556
38,2023-02-22,100038705.2817092,1,0.85113081,1100021647.8567815,-31.250777209411297,-10,31998658.333333332,73557
39,2023-02-22,100095737.95011652,1,0.88956179,1100021647.8567815,-31.250777209411297,-10,31996833.333333332,73558
40,2023-02-22,100158760.35082209,4,-3.16471342,-899841239.6491779,31.255062669005238,10,31994816.666666668,73559
41,2023-02-22,100091561.96608365,4,-3.76176702,-899841239.6491779,31.255062669005238,10,31992666.666666668,73560
42,2023-02-22,100021238.07507849,4,-3.8371339,-899841239.6491779,31.255062669005238,10,31990416.666666668,73561
43,2023-02-22,99963416.20914078,4,-4.93962537,-899841239.6491779,31.255062669005238,10,31988566.666666668,73562
44,2023-02-22,99907157.0963366,4,-4.07931347,-899841239.6491779,31.255062669005238,10,31986766.666666668,73563
45,2023-02-22,99863660.4674555,1,1.06732828,599863660.4674555,-15.63214437848548,-5,31985375.0,73564
46,2023-02-22,99894273.41686338,1,1.9214655,1099863660.4674554,-31.26524590766336,-10,31983416.666666668,73565
47,2023-02-22,99949508.6846335,4,-7.38881055,-900050491.3153665,31.2679302037262,10,31981650.0,73566
48,2023-02-22,99889057.35290635,1,0.82495111,599889057.3529063,-15.634910253009329,-5,31979716.666666668,73567
49,2023-02-22,99915766.99125528,1,1.48056317,1099889057.3529062,-31.27065575623407,-10,31978008.333333332,73568
50,2023-02-22,99964236.50767732,1,0.94234509,1099889057.3529062,-31.27065575623407,-10,31976458.333333332,73569
51,2023-02-22,100001240.1169889,4,-2.51161254,-899998759.8830111,31.27416417841598,10,31975275.0,73570
52,2023-02-22,99975699.54957652,4,-6.63459346,-899998759.8830111,31.27416417841598,10,31974458.333333332,73571
53,2023-02-22,99934521.90007496,4,-8.87985038,-899998759.8830111,31.27416417841598,10,31973141.666666668,73572
54,2023-02-22,99887610.6538074,1,1.96287391,599887610.6538074,-15.638859124375063,-5,31971641.666666668,73573
