,date,value,action,reward,balance,coin,position,price,index
0,2023-02-06,100000000.0,4,-1.93679931,-900000000.0,34.27465826023548,10,29176075.0,50483
1,2023-02-06,99995715.66771746,1,-0.08768874,599995715.6677175,-17.137402552444737,-5,29175950.0,50484
2,2023-02-06,99995287.23265362,4,-2.24791648,-900004712.7673464,34.274775735858015,10,29175975.0,50485
3,2023-02-06,99986432.91558862,1,1.18164099,599986432.9155886,-17.137539609138422,-5,29175716.666666668,50486
4,2023-02-06,99989146.3593601,1,0.72153181,1099986432.9155886,-34.27517222228178,-10,29175558.333333332,50487
5,2023-02-06,99997143.89954543,4,-4.43451483,-900002856.1004546,34.275539347033835,10,29175325.0,50488
6,2023-02-06,99985433.09026837,1,0.46254846,599985433.0902684,-17.13797037301935,-5,29174983.333333332,50489
7,2023-02-06,99993145.17693627,1,2.41912243,1099985433.0902684,-34.27620508914163,-10,29174533.333333332,50490
8,2023-02-06,100015424.7102443,4,-30.05333368,-899984575.2897557,34.277233118891154,10,29173883.333333332,50491
9,2023-02-06,99994001.43954492,1,1.04058073,599994001.4395449,-17.138983732533593,-5,29173258.333333332,50492
10,2023-02-06,100000285.73358011,4,-1.91400468,-899999714.2664199,34.27839829613508,10,29172891.666666668,50493
11,2023-02-06,99997714.85370791,1,-0.79833402,599997714.8537079,-17.139243211002935,-5,29172816.666666668,50494
12,2023-02-06,99997143.54560095,4,1.24995809,-900002856.4543991,34.27844725489625,10,29172850.0,50495
13,2023-02-06,100006284.46486902,1,-9.535037,600006284.464869,-17.139066960620706,-5,29173116.666666668,50496
14,2023-02-06,99996143.85025072,1,-4.75312965,1100006284.464869,-34.27778632694512,-10,29173708.333333332,50497
15,2023-02-06,99965865.13899529,4,4.8037364,-900034134.8610047,34.276400897927445,10,29174591.666666668,50498
16,2023-02-06,100005283.0000279,1,-2.94493144,600005283.0000279,-17.13752492438781,-5,29175741.666666668,50499
17,2023-02-06,99983004.21762615,1,-4.29241826,1100005283.000028,-34.27428627642116,-10,29177041.666666668,50500
18,2023-02-06,99952442.97902977,1,-4.55762547,1100005283.000028,-34.27428627642116,-10,29177933.333333332,50501
19,2023-02-06,99927308.50242698,4,1.39042278,-900072691.497573,34.2716139645403,10,29178666.666666668,50502
