,date,value,action,reward,balance,coin,position,price,index
0,2023-01-27,100000000.0,1,1.64213138,600000000.0,-17.256195837115317,-5,28975100.0,36625
1,2023-01-27,100024590.07906783,1,2.84116016,1100000000.0,-34.51324037841013,-10,28973675.0,36626
2,2023-01-27,100082399.75670171,3,-4.92967275,-399917600.2432983,17.258042247687424,5,28972000.0,36627
3,2023-01-27,100060108.1187985,1,1.19838421,600060108.1187985,-17.258811702049627,-5,28970708.333333332,36628
4,2023-01-27,100081537.80999523,1,1.8163806,1100060108.1187985,-34.51836313781418,-10,28969466.666666668,36629
5,2023-01-27,100119795.66247308,1,1.98632186,1100060108.1187985,-34.51836313781418,-10,28968358.333333332,36630
6,2023-01-27,100168984.32994449,1,1.84906671,1100060108.1187985,-34.51836313781418,-10,28966933.333333332,36631
7,2023-01-27,100225076.67004347,1,1.75073496,1100060108.1187985,-34.51836313781418,-10,28965308.333333332,36632
8,2023-01-27,100294113.39631903,1,1.23572817,1100060108.1187985,-34.51836313781418,-10,28963308.333333332,36633
9,2023-01-27,100357109.40904558,1,1.10753009,1100060108.1187985,-34.51836313781418,-10,28961483.333333332,36634
10,2023-01-27,100417228.89151049,1,1.06737067,1100060108.1187985,-34.51836313781418,-10,28959741.666666668,36635
11,2023-01-27,100476197.76187098,3,-1.75272019,-399523802.238129,17.266365924941958,5,28958033.333333332,36636
12,2023-01-27,100444686.64405799,1,0.46996305,600444686.644058,-17.267454158506595,-5,28956208.333333332,36637
13,2023-01-27,100474760.79338402,3,-1.3251509,-399525239.206616,17.268492828970544,5,28954466.666666668,36638
14,2023-01-27,100449577.57467508,3,-3.04846446,-899525239.2066159,34.537855454213,10,28953008.333333332,36639
15,2023-01-27,100394604.82141066,1,0.55730337,600394604.8214107,-17.270312045754814,-5,28951416.666666668,36640
16,2023-01-27,100424683.94822365,1,0.97585492,1100394604.8214107,-34.54166310582716,-10,28949675.0,36641
17,2023-01-27,100475632.90130484,1,0.80090446,1100394604.8214107,-34.54166310582716,-10,28948200.0,36642
18,2023-01-27,100526006.1600008,1,0.62132641,1100394604.8214107,-34.54166310582716,-10,28946741.666666668,36643
19,2023-01-27,100574652.3355416,1,0.29907109,1100394604.8214107,-34.54166310582716,-10,28945333.333333332,36644
20,2023-01-27,100602285.66602623,4,-0.84552398,-899397714.3339738,34.54883823773286,10,28944533.333333332,36645
21,2023-01-27,100574358.6884507,1,0.14673341,600574358.6884507,-17.274901554654765,-5,28943725.0,36646
22,2023-01-27,100590481.92990172,1,0.22789166,1100574358.6884508,-34.550360182090785,-10,28942791.666666668,36647
23,2023-01-27,100618122.2180475,3,-0.26828651,-399381877.7819525,17.275936146988272,5,28941991.666666668,36648
24,2023-01-27,100606892.85955197,1,0.10883401,600606892.8595519,-17.276324151063026,-5,28941341.666666668,36649
25,2023-01-27,100620425.98013693,1,0.21782149,1100606892.859552,-34.55311591993871,-10,28940558.333333332,36650
26,2023-01-27,100646916.70234215,1,0.24857725,1100606892.859552,-34.55311591993871,-10,28939791.666666668,36651
27,2023-01-27,100678878.33456814,1,0.28931855,1100606892.859552,-34.55311591993871,-10,28938866.666666668,36652
28,2023-01-27,100719190.30314147,1,0.28073604,1100606892.859552,-34.55311591993871,-10,28937700.0,36653
29,2023-01-27,100761517.87014341,1,0.29221489,1100606892.859552,-34.55311591993871,-10,28936475.0,36654
30,2023-01-27,100808740.46190071,1,0.41030669,1100606892.859552,-34.55311591993871,-10,28935108.333333332,36655
31,2023-01-27,100877558.75110781,3,-0.51361117,-399122441.2488922,17.281235400956344,5,28933116.666666668,36656
32,2023-01-27,100849044.71269625,1,0.14290622,600849044.7126963,-17.282220972781655,-5,28931466.666666668,36657
33,2023-01-27,100872951.78504199,1,0.24212942,1100849044.7126963,-34.565268319689864,-10,28930083.333333332,36658
34,2023-01-27,100916158.37044156,3,-0.29528881,-399083841.62955844,17.28379413848928,5,28928833.333333332,36659
35,2023-01-27,100899450.70277435,1,0.13855683,600899450.7027743,-17.284371701565732,-5,28927866.666666668,36660
36,2023-01-27,100924080.93244904,1,0.22372637,1100899450.7027743,-34.56959488116525,-10,28926441.666666668,36661
37,2023-01-27,100963547.88660502,1,0.21766126,1100899450.7027743,-34.56959488116525,-10,28925300.0,36662
38,2023-01-27,101003879.08063316,1,0.23300439,1100899450.7027743,-34.56959488116525,-10,28924133.333333332,36663
39,2023-01-27,101047667.23414922,1,0.2586497,1100899450.7027743,-34.56959488116525,-10,28922866.666666668,36664
40,2023-01-27,101096352.74694026,1,0.11800881,1100899450.7027743,-34.56959488116525,-10,28921458.333333332,36665
41,2023-01-27,101119111.06357026,3,-0.04742251,-398880888.93642974,17.288595059611076,5,28920800.0,36666
42,2023-01-27,101116085.55943483,1,-0.04552368,601116085.5594349,-17.288699673675794,-5,28920625.0,36667
43,2023-01-27,101113204.10948926,1,-0.54555865,1101116085.559435,-34.57729971488029,-10,28920791.666666668,36668
44,2023-01-27,101079491.24226725,1,-0.22906245,1101116085.559435,-34.57729971488029,-10,28921766.666666668,36669
45,2023-01-27,101065660.32238126,1,0.00960328,1101116085.559435,-34.57729971488029,-10,28922166.666666668,36670
46,2023-01-27,101067389.18736708,1,0.08138375,1101116085.559435,-34.57729971488029,-10,28922116.666666668,36671
47,2023-01-27,101082660.82807446,1,0.02768723,1101116085.559435,-34.57729971488029,-10,28921675.0,36672
48,2023-01-27,101087847.42303169,1,-0.24327474,1101116085.559435,-34.57729971488029,-10,28921525.0,36673
49,2023-01-27,101072863.92648864,3,0.09495356,-398927136.07351136,17.287902646057567,5,28921958.333333332,36674
50,2023-01-27,101090439.96084553,1,-0.40043347,601090439.9608455,-17.287294961877194,-5,28922975.0,36675
51,2023-01-27,101066093.6871075,1,-0.32349565,1101090439.9608455,-34.57374820230929,-10,28924383.333333332,36676
52,2023-01-27,101046790.0110277,1,-0.03933702,1101090439.9608455,-34.57374820230929,-10,28924941.666666668,36677
53,2023-01-27,101044485.09448099,1,0.00680079,1101090439.9608455,-34.57374820230929,-10,28925008.333333332,36678
54,2023-01-27,101045637.55275428,3,-0.10555652,-398954362.4472457,17.28609964226417,5,28924975.0,36679
55,2023-01-27,101040019.57037055,1,0.03097469,601040019.5703706,-17.286293870453058,-5,28924650.0,36680
56,2023-01-27,101044773.3011849,3,-0.07237523,-398955226.6988151,17.28645822079129,5,28924375.0,36681
57,2023-01-27,101041027.90190375,1,0.05867324,601041027.9019037,-17.286587711137663,-5,28924158.333333332,36682
58,2023-01-27,101050535.52514488,1,0.08263815,1101041027.9019036,-34.57350413725209,-10,28923608.333333332,36683
59,2023-01-27,101063788.70173061,3,-0.08213407,-398936211.2982694,17.287145537885213,5,28923225.0,36684
60,2023-01-27,101059610.97489232,1,0.06564767,601059610.9748924,-17.287289981035844,-5,28922983.333333332,36685
61,2023-01-27,101069118.98438191,1,0.11209416,1101059610.9748924,-34.57490870375742,-10,28922433.333333332,36686
