,date,value,action,reward,balance,coin,position,price,index
0,2023-01-21,100000000.0,0,-1.22531884,398800000.0,-11.367371664742107,-3,26391325.0,27985
1,2023-01-21,98774991.7823376,0,-1.21219158,697600000.0,-22.733795816120143,-6,26393525.0,27986
2,2023-01-21,97524219.63834834,1,0.52936407,324522.7597949505,3.7884874811009723,1,26395758.333333332,27987
3,2023-01-21,100333836.12485266,0,-1.53238906,398733798.8713924,-11.364404034868516,-3,26398216.666666668,27988
4,2023-01-21,98705956.08150703,0,-1.175466,697533798.8713925,-22.727753445236942,-6,26400666.666666668,27989
5,2023-01-21,97455576.22803676,0,-1.19476519,996333798.8713925,-34.09014884018434,-9,26402883.333333332,27990
6,2023-01-21,96182282.40803039,4,-4.03132181,-208618323.6578231,11.361470224742506,3,26405033.333333332,27991
7,2023-01-21,91403736.53019667,4,-1.0556542,-509818323.6578231,22.722105057016933,6,26406975.0,27992
8,2023-01-21,90248612.68768418,0,-3.22096827,386648344.9423021,-11.359785224327359,-3,26408950.0,27993
9,2023-01-21,86625720.03673029,0,-1.1061699,685448344.9423021,-22.7187137997,-6,26410941.666666668,27994
10,2023-01-21,85380282.60913098,0,-1.12144767,984248344.9423021,-34.07678227181579,-9,26412941.666666668,27995
11,2023-01-21,84115820.6960001,1,0.78010903,-11883649.20701468,3.7857516925464862,1,26414833.333333332,27996
12,2023-01-21,88123764.55671658,0,-1.39048482,386523734.90166163,-11.356413140000914,-3,26416791.666666668,27997
13,2023-01-21,86499507.88696301,0,-1.06774182,685323734.9016616,-22.71190924743148,-6,26418925.0,27998
14,2023-01-21,85251055.81390178,0,-1.12470349,984123734.9016616,-34.06648847038085,-9,26421058.333333332,27999
15,2023-01-21,83978948.41330624,0,-0.06051347,984123734.9016616,-34.06648847038085,-10,26423175.0,28000
16,2023-01-21,83907976.56232631,0,-0.06180016,984123734.9016616,-34.06648847038085,-10,26425258.333333332,28001
17,2023-01-21,83837856.37355804,0,-0.05927658,984123734.9016616,-34.06648847038085,-10,26427316.666666668,28002
18,2023-01-21,83772278.3832525,0,-0.05718095,984123734.9016616,-34.06648847038085,-10,26429241.666666668,28003
19,2023-01-21,83714081.46544898,0,-0.06805773,984123734.9016616,-34.06648847038085,-10,26430950.0,28004
20,2023-01-21,83648787.3625474,0,-0.07570045,984123734.9016616,-34.06648847038085,-10,26432866.666666668,28005
21,2023-01-21,83572989.42570078,4,-4.37661823,-221229213.556203,11.348551530777744,3,26435091.666666668,28006
22,2023-01-21,78799536.10767496,0,-2.24466208,376399421.10901946,-11.347464078184027,-3,26437625.0,28007
23,2023-01-21,76372376.31963313,0,-1.15771122,675199421.1090195,-22.693905282659188,-6,26440008.333333332,28008
24,2023-01-21,75119045.64221907,0,-1.16992658,973999421.1090195,-34.039338099890884,-9,26442358.333333332,28009
25,2023-01-21,73850399.64371753,1,0.73896197,-22149004.270421267,3.78152253551086,1,26444375.0,28010
26,2023-01-21,77856384.39919183,0,-1.48776228,376256362.84451336,-11.343956318205537,-3,26445800.0,28011
27,2023-01-21,76242844.62990081,0,-1.06247214,675056362.8445134,-22.687401492656697,-6,26446991.666666668,28012
28,2023-01-21,75015430.68643057,0,-1.03812261,973856362.8445134,-34.03032842152142,-9,26448200.0,28013
29,2023-01-21,73773459.94804418,0,-0.03658386,973856362.8445134,-34.03032842152142,-10,26449433.333333332,28014
30,2023-01-21,73731489.20965755,0,-0.04032924,973856362.8445134,-34.03032842152142,-10,26450666.666666668,28015
31,2023-01-21,73686399.02449906,0,-0.04271802,973856362.8445134,-34.03032842152142,-10,26451991.666666668,28016
32,2023-01-21,73639890.90898967,4,-3.96199811,-231160974.97875237,11.340715088789924,3,26453358.333333332,28017
33,2023-01-21,68854334.9866175,1,0.06449426,-330760974.9787524,15.120760543836521,4,26454708.333333332,28018
34,2023-01-21,69272731.91194582,0,-2.11896866,366472597.084383,-11.33961484998162,-3,26455925.0,28019
35,2023-01-21,66459367.533724666,1,0.25523069,-31940579.548072696,3.779704937334067,1,26457091.666666668,28020
36,2023-01-21,68064019.09293438,0,-1.33438931,366464000.69837034,-11.338593390796905,-3,26458308.333333332,28021
37,2023-01-21,66452378.640144765,0,-1.04107499,665264000.6983703,-22.67674753930153,-6,26459333.333333332,28022
38,2023-01-21,65225544.48888981,1,0.5200728,-31974301.686272264,3.7792156993659103,1,26460516.666666668,28023
39,2023-01-21,68029823.95753287,4,-1.00894803,-333174301.68627226,15.116395065825433,4,26461608.333333332,28024
40,2023-01-21,66841161.25383222,4,-1.02458887,-634374301.6862723,26.453253112302143,7,26462358.333333332,28025
41,2023-01-21,65644467.91047132,0,-3.05661776,361644392.8320843,-11.336804494917018,-3,26462483.333333332,28026
42,2023-01-21,61646565.71961248,1,0.26031455,-36753442.97193766,3.778962202505137,1,26462291.666666668,28027
43,2023-01-21,63244730.52966446,0,-1.28711894,361644737.8356581,-11.337093679349831,-3,26461808.333333332,28028
