,date,value,action,reward,balance,coin,position,price,index
39,2022-11-16,83342279.10467798,2,-0.1,83342279.10467798,0,,16794.285,1642
40,2022-11-16,83342279.10467798,4,-2,-217857720.89532202,17857.64776087419,,16799.525,1643
41,2022-11-16,81892004.17130929,2,-0.1,80693005.27104276,0,,16785.51,1644
42,2022-11-16,80693005.27104276,2,-0.1,80693005.27104276,0,,16773.52,1645
43,2022-11-16,80693005.27104276,4,-2,-220506994.72895724,17880.142254411778,,16778.39,1646
44,2022-11-16,79738142.02135074,2,-0.1,78537161.4743495,0,,16792.1,1647
45,2022-11-16,78537161.4743495,4,1,78537161.4743495,0.0,,16785.085,1648
46,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16780.325,1649
47,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16791.415,1650
48,2022-11-16,78537161.4743495,4,1,78537161.4743495,0.0,,16801.33,1651
49,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16796.795,1652
50,2022-11-16,78537161.4743495,4,1,78537161.4743495,0.0,,16785.989999999998,1653
51,2022-11-16,78537161.4743495,4,1,78537161.4743495,0.0,,16781.055,1654
52,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16788.755,1655
53,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16788.015,1656
54,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16782.525,1657
55,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16781.295,1658
56,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16761.9,1659
57,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16754.915,1660
58,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16759.25,1661
59,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16760.54,1662
60,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16763.815,1663
61,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16767.67,1664
62,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16766.795,1665
63,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16772.135,1666
64,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16778.25,1667
65,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16781.37,1668
66,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16773.385000000002,1669
67,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16786.915,1670
68,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16784.605,1671
69,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16793.54,1672
70,2022-11-16,78537161.4743495,4,1,78537161.4743495,0.0,,16788.34,1673
71,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16778.989999999998,1674
72,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16771.879999999997,1675
73,2022-11-16,78537161.4743495,4,1,78537161.4743495,0.0,,16771.335,1676
74,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16775.14,1677
75,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16773.7,1678
76,2022-11-16,78537161.4743495,2,-0.1,78537161.4743495,0,,16782.15,1679
77,2022-11-16,78537161.4743495,0,-2,377337161.4743495,-17872.60585274224,,16785.465,1680
78,2022-11-16,77204278.64983433,2,-0.1,76003747.1185363,0,,16792.9,1681
79,2022-11-16,76003747.1185363,4,-2,-225196252.8814637,17866.442978800576,,16791.254999999997,1682
80,2022-11-16,74734871.98085314,4,-2,-526396252.8814637,35736.98874526828,,16787.4,1683
81,2022-11-16,73112639.45882767,2,-0.1,70714603.88946646,0,,16775.585,1684
82,2022-11-16,70714603.88946646,4,-2,-230485396.11053354,17874.197820896963,,16783.97,1685
83,2022-11-16,69654022.63246948,2,-0.1,68453464.95749748,0,,16791.77,1686
84,2022-11-16,68453464.95749748,2,-0.1,68453464.95749748,0,,16793.864999999998,1687
85,2022-11-16,68453464.95749748,2,-0.1,68453464.95749748,0,,16792.735,1688
86,2022-11-16,68453464.95749748,3,-2,-31946535.042502522,5954.415377634977,,16794.260000000002,1689
87,2022-11-16,68134712.95532529,2,-0.1,67734387.96333398,0,,16807.905,1690
88,2022-11-16,67734387.96333398,1,-2,167334387.96333396,-5953.736490599795,,16796.175,1691
89,2022-11-16,67381362.94424477,2,-0.1,66981550.84416841,0,,16788.285000000003,1692
90,2022-11-16,66981550.84416841,2,-0.1,66981550.84416841,0,,16785.800000000003,1693
91,2022-11-16,66981550.84416841,2,-0.1,66981550.84416841,0,,16766.275,1694
92,2022-11-16,66981550.84416841,2,-0.1,66981550.84416841,0,,16786.79,1695
93,2022-11-16,66981550.84416841,4,-2,-234218449.15583158,17887.97299154585,,16771.045,1696
94,2022-11-16,66114267.14181125,3,-2,-334618449.1558316,23844.025070074014,,16789.645,1697
95,2022-11-16,66112581.58060682,2,-0.1,64509657.45766109,0,,16806.35,1698
96,2022-11-16,64509657.45766109,2,-0.1,64509657.45766109,0,,16802.955,1699
97,2022-11-16,64509657.45766109,0,-2,363309657.4576611,-17851.87761585794,,16804.955,1700
98,2022-11-16,63202456.93257797,2,-0.1,62002028.13047761,0,,16810.96,1701
99,2022-11-16,62002028.13047761,4,-2,-239197971.8695224,17848.303697216616,,16808.32,1702
100,2022-11-16,60893232.962370396,2,-0.1,59692868.1430428,0,,16813.43,1703
101,2022-11-16,59692868.1430428,2,-0.1,59692868.1430428,0,,16806.375,1704
102,2022-11-16,59692868.1430428,2,-0.1,59692868.1430428,0,,16810.595,1705
103,2022-11-16,59692868.1430428,0,-2,358492868.1430428,-17843.494707916863,,16812.85,1706
104,2022-11-16,58576643.350696445,2,-0.1,57376978.45152706,0,,16808.155,1707
105,2022-11-16,57376978.45152706,3,-2,-43023021.54847294,5950.7055454029905,,16804.73,1708
106,2022-11-16,56936007.84384696,4,-2,-344223021.54847294,23810.139300149505,,16797.845,1709
107,2022-11-16,55668506.098931074,2,-0.1,54068939.98834145,0,,16795.010000000002,1710
108,2022-11-16,54068939.98834145,4,-2,-247131060.01165855,17860.13017653548,,16797.19,1711
109,2022-11-16,52880191.870352685,2,-0.1,51680146.86282462,0,,16797.82,1712
